Romantic Blue	http://andrewstudios.go.ro:8000/RomanticBlue	0	
Holdfeny Radio	http://andrewstudios.go.ro:8000/HoldFeny	0	
Big FM Deva	http://82.208.143.10:8000/;	0	
Radio Arad 99,1 FM	http://85.120.220.205:8000/radio-arad	0	
Radio HIT Jassy	http://live02.radiohit.ro:8000/hit.mp3	0	
Gherla FM	http://89.39.189.52:8000/stream;	0	
Banat FM	https://icecast.banatfm.ro:8443/banatfm.mp3?1	0	
KPTV	https://nl1.streamingpulse.com/ssl/KPTV	0	
Magic FM	https://live.magicfm.ro/magicfm.aacp	0	
Digi FM	http://edge76.rdsnet.ro:84/digifm/digifm.mp3	0	
Europa FM	https://astreaming.edi.ro:8443/EuropaFM_aac	0	
Kiss FM Romania	https://live.kissfm.ro:8443/kissfm.aacp	0	
National FM	http://live3.nationalfm.ro:8001/;	0	
ProFM HOT	http://asculta.radioxnet.ro:8888/stream/1/	0	
ProFM Classic Rock	http://edge126.rdsnet.ro:84/profm/profm.mp3	0	
Radio Deea	https://radiocdn.nxthost.com/radio-deea	0	
Half Is Enough Radio	http://centauri.shoutca.st:8322/live	0	
Play 90s	https://live.playradio.org:8443/90HD	0	
PlayMusic FM	http://stream.playmusicfm.info:9000/;	0	
MegaHit Romania	https://air.broadcastinggroup.ro/MegaHit	0	
Radio Accent	http://86.122.157.14:8900/;	0	
Radio Armonia	https://audio.radioarmoniaro.bisericilive.com/mainradioarmoniaro.mp3	0	
Blue Balloon Radio	http://89.238.227.6:8344/;	0	
Radio 3Net	http://media.3netmedia.ro:8000/Live128	0	
Bucuresti FM	http://89.238.227.6:8032/;	0	
Antena Satelor	http://89.238.227.6:8042/;	0	
Eteatru FM	https://static.srr.ro/audio/articles/3321/art-audio-1387671-tristan.mp3	0	
Milos Radio	http://radiomilos.ro:8803/;	0	
Radio Damici	https://fwd.autopo.st/Damici	0	
Capital FM	http://live.capitalfm.ro:8020/;	0	
Radio 1 Manele	http://radio1manele.no-ip.org:8000/stream/1/	0	
Ortodox Radio	https://ortodoxradio.ro:8000/stream64	0	
Radio Doxologia	https://rlive.doxologia.ro/stream.mp3	0	
Strada Radio	http://stream.diazol.hu:35080/live.mp3	0	
Agnus Radio	http://radio2.tirek.hu:8000/agnusradio	0	
Paprika Radio	http://stream1.paprikaradio.ro:8000/;	0	
Megadance Radio	http://gamershouse.hu:8000/livemega.mp3	0	
BitHangYoo Radio	https://bdpstrock.hu/live.mp3	0	
Poptarisznya	http://stream1.virtualisan.net:8200/mobil.mp3	0	
Dance Effect Radio	http://asculta.danceeffect.ro:3333/;	0	
Kosuth Radio	https://icast.connectmedia.hu/4726/mr1ex.mp3	0	
Petofi Radio	https://mr-stream.connectmedia.hu/4738/mr2.mp3	0	
Erdely Magyar Radio	http://adas.erdelyimagyarradio.eu:8000/emr	0	
Marosvásárhelyi Rádió	http://streaming.radiomures.ro:8312/;stream	0	
City Radio	http://live.city-radio.ro:8800/;	0	
DanceFM 89.5	http://edge126.rdsnet.ro:84/profm/dancefm.mp3	0	
Pannon Radio	http://breddstream.unrealhosting.hu:4120/	0	
Panonia Radio	http://kft.kesintisizyayin.com:8130/stream	0	
Club Dance Radio	https://clubdance.online/stream.mp3	0	
Magic Disco Radio	http://live2.magicdiscoradio.com:4420/	0	
SuperDJ Radio	https://stream.diazol.hu:35150/stream	0	
Balaton	http://91.82.85.41:8200/;	0	
Nota Radio	http://live.notafm.hu:8000/notafm.mp3	0	
Folkradio	https://stream.folkradio.hu/folkradio.mp3	0	
Budapest Rock	https://bdpstrock.hu/live.mp3	0	
Szent Istvan Radio	http://online.szentistvanradio.hu:8000/;	0	
Mária Rádió Erdély	http://stream.mariaradio.ro:8000/MRE_LQ	0	
Radio Disco Mix	https://play.discomix.ro/8002/stream	0	disco
Szent István Rádió	http://online.szentistvanradio.hu:7000/adas	0	christian
